timestamp,src_ip,dst_ip,src_port,dst_port,protocol,pkt_size,elephant
1695751628.6382375,10.0.0.5,10.0.0.4,1999,54524,6,66,0
1695751628.746618,10.0.0.2,10.0.0.1,80,56666,17,63,1
1695751629.8748264,10.0.0.2,10.0.0.1,80,56666,17,63,1
1695751630.959129,10.0.0.2,10.0.0.1,80,56666,17,63,1
1695751632.0463896,10.0.0.2,10.0.0.1,80,56666,17,63,1
1695751633.1272213,10.0.0.2,10.0.0.1,80,56666,17,63,1
1695751633.234276,10.0.0.2,10.0.0.3,42211,3389,6,54,0
1695751633.322348,10.0.0.5,10.0.0.2,8080,62492,6,66,0
1695751633.3983793,10.0.0.5,10.0.0.2,8080,62492,6,66,0
1695751633.4663963,10.0.0.5,10.0.0.2,8080,62492,6,66,0
1695751633.562362,10.0.0.5,10.0.0.2,8080,62492,6,66,0
1695751633.6423721,10.0.0.5,10.0.0.2,8080,62492,6,66,0
1695751633.746422,10.0.0.1,10.0.0.4,19383,80,6,54,0
1695751633.8385649,10.0.0.2,10.0.0.1,80,56666,17,63,1
1695751633.926437,10.0.0.1,10.0.0.4,19383,80,6,54,0
1695751633.9983933,10.0.0.4,10.0.0.1,5353,2888,6,58,0
1695751634.0784266,10.0.0.4,10.0.0.1,5353,2888,6,58,0
1695751634.166391,10.0.0.2,10.0.0.1,1494,8080,6,54,0
1695751634.2544181,10.0.0.2,10.0.0.1,1494,8080,6,54,0
1695751634.3623304,10.0.0.4,10.0.0.3,53,32768,17,148,0
1695751634.4384072,10.0.0.4,10.0.0.3,53,32768,17,154,0
1695751634.5104275,10.0.0.4,10.0.0.3,53,32768,17,148,0
1695751634.5983446,10.0.0.5,10.0.0.4,4321,12101,6,66,0
1695751634.6663973,10.0.0.5,10.0.0.4,4321,12101,6,66,0
1695751634.7503684,10.0.0.5,10.0.0.2,742,25788,6,66,0
1695751634.8383987,10.0.0.5,10.0.0.2,742,25788,6,66,0
1695751634.9063714,10.0.0.5,10.0.0.2,742,25788,6,66,0
1695751634.998284,10.0.0.4,10.0.0.1,5353,2888,6,58,0
1695751635.0943878,10.0.0.5,10.0.0.2,742,25788,6,66,0
1695751635.166413,10.0.0.2,10.0.0.1,80,56666,17,63,1
1695751636.2303352,10.0.0.5,10.0.0.4,80,57758,6,1514,1
1695751637.3072932,10.0.0.1,10.0.0.5,39806,80,6,66,0
1695751638.3985445,10.0.0.1,10.0.0.5,39806,80,6,66,0
1695751639.4904351,10.0.0.1,10.0.0.5,39806,80,6,66,0
1695751640.5464716,10.0.0.1,10.0.0.5,39806,80,6,66,0
1695751641.6104054,10.0.0.1,10.0.0.5,39806,80,6,66,0
1695751642.6824234,10.0.0.1,10.0.0.5,39806,80,6,66,0
1695751643.7463775,10.0.0.5,10.0.0.4,22,625,6,74,1
1695751644.8143504,10.0.0.5,10.0.0.4,22,625,6,54,1
1695751645.8944147,10.0.0.5,10.0.0.4,22,625,6,74,1
1695751646.946643,10.0.0.5,10.0.0.4,22,625,6,54,1
1695751648.0144818,10.0.0.5,10.0.0.4,22,625,6,74,1
1695751649.102562,10.0.0.5,10.0.0.4,22,625,6,54,1
1695751649.190353,10.0.0.2,10.0.0.5,20015,80,6,62,0
1695751650.2384012,10.0.0.5,10.0.0.4,22,625,6,74,1
1695751650.3024087,10.0.0.2,10.0.0.4,443,51307,17,857,0
1695751650.3823807,10.0.0.2,10.0.0.4,443,51307,17,193,0
1695751650.4463477,10.0.0.2,10.0.0.4,443,51307,17,66,0
1695751650.5344267,10.0.0.2,10.0.0.4,443,51307,17,180,0
1695751650.60241,10.0.0.2,10.0.0.4,443,51307,17,162,0
1695751650.6824052,10.0.0.2,10.0.0.4,443,51307,17,67,0
1695751651.734969,10.0.0.5,10.0.0.4,80,57758,6,1514,1
1695751652.8062303,10.0.0.5,10.0.0.4,80,57758,6,1514,1
1695751653.8872576,10.0.0.5,10.0.0.4,80,57758,6,1514,1
1695751654.9584548,10.0.0.5,10.0.0.4,80,57758,6,1514,1
1695751656.042419,10.0.0.5,10.0.0.4,80,57758,6,1514,1
1695751657.1070778,10.0.0.5,10.0.0.4,80,57758,6,2974,1
1695751657.214373,10.0.0.2,10.0.0.4,443,51307,17,1292,0
1695751657.3062284,10.0.0.5,10.0.0.2,742,25788,6,66,0
1695751658.3823354,10.0.0.3,10.0.0.5,54436,443,6,108,0
1695751659.4383495,10.0.0.3,10.0.0.5,54436,443,6,54,0
1695751659.5143864,10.0.0.2,10.0.0.3,42568,1194,17,141,1
1695751659.6103969,10.0.0.3,10.0.0.1,47536,5120,6,54,0
1695751660.6823976,10.0.0.2,10.0.0.1,34719,3478,6,54,0
1695751661.7592013,10.0.0.2,10.0.0.1,34719,3478,6,54,0
1695751661.8703623,10.0.0.1,10.0.0.2,1526,19508,6,66,0
1695751661.9423606,10.0.0.1,10.0.0.2,1526,19508,6,66,0
1695751662.0142806,10.0.0.1,10.0.0.2,1526,19508,6,66,0
1695751662.082405,10.0.0.1,10.0.0.2,1526,19508,6,66,0
1695751662.1543798,10.0.0.1,10.0.0.2,1526,19508,6,66,0
1695751663.2143552,10.0.0.2,10.0.0.3,9321,443,6,54,1
1695751664.267228,10.0.0.2,10.0.0.3,9321,443,6,54,1
1695751665.3303294,10.0.0.2,10.0.0.3,9321,443,6,54,1
1695751665.4264889,10.0.0.2,10.0.0.3,42568,1194,17,141,1
1695751666.4864788,10.0.0.2,10.0.0.3,9321,443,6,54,1
1695751667.546402,10.0.0.2,10.0.0.3,9321,443,6,54,1
1695751668.6104045,10.0.0.2,10.0.0.3,9321,443,6,54,1
1695751669.6783197,10.0.0.5,10.0.0.1,80,55077,6,1514,1
1695751670.7343898,10.0.0.5,10.0.0.1,80,55077,6,1514,1
1695751671.8062441,10.0.0.5,10.0.0.1,80,55077,6,1514,1
1695751672.8583837,10.0.0.5,10.0.0.1,80,55077,6,1514,1
1695751673.9182584,10.0.0.5,10.0.0.1,80,55077,6,1514,1
1695751674.97843,10.0.0.5,10.0.0.1,80,55077,6,1514,1
1695751675.058361,10.0.0.5,10.0.0.1,80,55077,6,1514,1
1695751676.119077,10.0.0.4,10.0.0.3,80,54617,6,1514,1
1695751677.1903977,10.0.0.4,10.0.0.3,80,54617,6,1514,1
1695751678.2470224,10.0.0.4,10.0.0.3,80,54617,6,1514,1
1695751679.3265893,10.0.0.2,10.0.0.3,9321,443,6,54,1
1695751679.4183764,10.0.0.2,10.0.0.3,42568,1194,17,141,1
1695751679.5024078,10.0.0.2,10.0.0.3,42568,1194,17,139,1
1695751679.5904007,10.0.0.2,10.0.0.3,42568,1194,17,139,1
1695751680.6423116,10.0.0.3,10.0.0.5,54436,443,6,110,0
1695751681.70235,10.0.0.3,10.0.0.5,54436,443,6,54,0
1695751682.7544012,10.0.0.3,10.0.0.5,54436,443,6,54,0
1695751683.82232,10.0.0.3,10.0.0.4,39432,80,6,66,1
1695751684.9151657,10.0.0.3,10.0.0.4,39432,80,6,66,1
1695751686.0143263,10.0.0.3,10.0.0.4,39432,80,6,66,1
1695751687.0670152,10.0.0.3,10.0.0.4,39432,80,6,66,1
1695751688.142266,10.0.0.3,10.0.0.4,39432,80,6,66,1
1695751689.2029994,10.0.0.3,10.0.0.4,39432,80,6,66,1
1695751690.274575,10.0.0.3,10.0.0.4,39432,80,6,66,1
1695751690.3663352,10.0.0.5,10.0.0.3,22,40316,6,66,0
1695751690.4622893,10.0.0.1,10.0.0.2,8000,65081,17,113,1
1695751690.5383892,10.0.0.1,10.0.0.2,8000,65081,17,107,1
1695751690.606381,10.0.0.1,10.0.0.2,8000,65081,17,117,1
1695751690.682361,10.0.0.1,10.0.0.2,8000,65081,17,196,1
1695751690.7624745,10.0.0.1,10.0.0.2,8000,65081,17,120,1
1695751690.8383143,10.0.0.1,10.0.0.2,8000,65081,17,115,1
1695751690.9024408,10.0.0.1,10.0.0.2,8000,65081,17,109,1
1695751690.9824781,10.0.0.4,10.0.0.2,50028,3480,17,127,1
1695751691.054386,10.0.0.4,10.0.0.2,50028,3480,17,1013,1
1695751691.1143456,10.0.0.4,10.0.0.2,50028,3480,17,1013,1
1695751691.2063725,10.0.0.4,10.0.0.2,50028,3480,17,1012,1
1695751691.3303857,10.0.0.4,10.0.0.2,50028,3480,17,680,1
1695751691.4304,10.0.0.4,10.0.0.2,50028,3480,17,680,1
1695751691.4904208,10.0.0.4,10.0.0.2,50028,3480,17,680,1
1695751691.570422,10.0.0.2,10.0.0.3,42568,1194,17,139,1
1695751691.6423588,10.0.0.2,10.0.0.3,42568,1194,17,139,1
1695751691.7103822,10.0.0.1,10.0.0.5,39806,80,6,66,0
1695751692.7743516,10.0.0.4,10.0.0.3,80,54617,6,1514,1
1695751692.866349,10.0.0.4,10.0.0.1,21841,434,6,54,0
1695751692.9423099,10.0.0.4,10.0.0.1,21841,434,6,54,0
1695751693.0343657,10.0.0.4,10.0.0.2,54073,3480,17,107,1
1695751693.1343505,10.0.0.4,10.0.0.2,54073,3480,17,90,1
1695751693.2103856,10.0.0.4,10.0.0.2,54073,3480,17,126,1
1695751693.2863033,10.0.0.4,10.0.0.2,54073,3480,17,114,1
1695751693.3663332,10.0.0.4,10.0.0.2,54073,3480,17,94,1
1695751693.4624076,10.0.0.4,10.0.0.2,54073,3480,17,117,1
1695751693.5343323,10.0.0.4,10.0.0.2,54073,3480,17,83,1
1695751693.6023827,10.0.0.5,10.0.0.3,39531,5353,6,54,0
1695751693.6823614,10.0.0.1,10.0.0.3,60000,54222,6,54,0
1695751693.7864394,10.0.0.5,10.0.0.3,39787,53,6,54,0
1695751694.8742578,10.0.0.2,10.0.0.5,49433,443,6,66,1
1695751695.9343243,10.0.0.2,10.0.0.5,49433,443,6,66,1
1695751697.0103762,10.0.0.1,10.0.0.4,53321,443,6,2442,1
1695751698.0904064,10.0.0.2,10.0.0.5,49433,443,6,66,1
1695751699.1583369,10.0.0.2,10.0.0.5,49433,443,6,66,1
1695751700.2262807,10.0.0.2,10.0.0.5,49433,443,6,66,1
1695751701.3183937,10.0.0.2,10.0.0.5,49433,443,6,66,1
1695751701.4143012,10.0.0.5,10.0.0.2,16393,16393,17,407,1
1695751701.5022793,10.0.0.5,10.0.0.2,16393,16393,17,1196,1
1695751701.5743277,10.0.0.5,10.0.0.2,16393,16393,17,407,1
1695751701.6462457,10.0.0.5,10.0.0.2,16393,16393,17,736,1
1695751701.7382016,10.0.0.5,10.0.0.2,16393,16393,17,736,1
1695751702.7984514,10.0.0.4,10.0.0.1,80,55992,6,1514,1
1695751702.88641,10.0.0.5,10.0.0.2,16393,16393,17,799,1
1695751702.9743152,10.0.0.2,10.0.0.3,4500,4500,17,1390,1
1695751703.0744953,10.0.0.2,10.0.0.3,4500,4500,17,1390,1
1695751704.162404,10.0.0.2,10.0.0.5,49433,443,6,66,1
1695751704.2344284,10.0.0.2,10.0.0.3,4500,4500,17,1390,1
1695751705.310365,10.0.0.1,10.0.0.4,53321,443,6,1254,1
1695751706.3822315,10.0.0.1,10.0.0.4,53321,443,6,1254,1
1695751706.4543803,10.0.0.5,10.0.0.1,4321,23592,6,66,0
1695751706.5423627,10.0.0.5,10.0.0.1,4321,23592,6,66,0
1695751706.6223326,10.0.0.5,10.0.0.1,4321,23592,6,66,0
1695751707.6903934,10.0.0.2,10.0.0.3,4433,625,6,74,1
1695751708.7466528,10.0.0.2,10.0.0.3,4433,625,6,74,1
