timestamp,src_ip,dst_ip,src_port,dst_port,protocol,pkt_size,ingress_elephant,controller_elephant
1695751628.5646446,10.0.0.5,10.0.0.4,1999,54524,6,66,0,0
1695751628.5660949,10.0.0.5,10.0.0.4,1999,54524,6,66,0,0
1695751628.567389,10.0.0.5,10.0.0.4,1999,54524,6,66,0,0
1695751628.5687761,10.0.0.4,10.0.0.5,54524,1999,6,54,0,0
1695751628.5700438,10.0.0.4,10.0.0.5,54524,1999,6,54,0,0
1695751628.5712223,10.0.0.4,10.0.0.5,54524,1999,6,54,0,0
1695751628.6711307,10.0.0.2,10.0.0.1,0,0,1,63,0,0
1695751628.672145,10.0.0.2,10.0.0.1,0,0,1,63,0,0
1695751628.6731663,10.0.0.2,10.0.0.1,0,0,1,63,0,0
1695751628.6741884,10.0.0.1,10.0.0.2,0,0,1,63,0,0
1695751628.6752777,10.0.0.1,10.0.0.2,0,0,1,63,0,0
1695751628.6768208,10.0.0.1,10.0.0.2,0,0,1,63,0,0
1695751628.7927372,10.0.0.2,10.0.0.1,0,0,1,63,0,0
1695751633.162557,10.0.0.2,10.0.0.3,42211,3389,6,62,0,0
1695751633.1644304,10.0.0.2,10.0.0.3,42211,3389,6,62,0,0
1695751633.1658545,10.0.0.2,10.0.0.3,42211,3389,6,62,0,0
1695751633.1673787,10.0.0.3,10.0.0.2,3389,42211,6,54,0,0
1695751633.1689036,10.0.0.3,10.0.0.2,3389,42211,6,54,0,0
1695751633.1703923,10.0.0.3,10.0.0.2,3389,42211,6,54,0,0
1695751633.2554698,10.0.0.5,10.0.0.2,8080,62492,6,66,0,0
1695751633.2569387,10.0.0.5,10.0.0.2,8080,62492,6,66,0,0
1695751633.2581367,10.0.0.5,10.0.0.2,8080,62492,6,66,0,0
1695751633.2592187,10.0.0.2,10.0.0.5,62492,8080,6,54,0,0
1695751633.2603745,10.0.0.2,10.0.0.5,62492,8080,6,54,0,0
1695751633.262174,10.0.0.2,10.0.0.5,62492,8080,6,54,0,0
1695751633.6713538,10.0.0.1,10.0.0.4,19383,80,6,62,0,0
1695751633.6731088,10.0.0.1,10.0.0.4,19383,80,6,62,0,0
1695751633.6747553,10.0.0.1,10.0.0.4,19383,80,6,62,0,0
1695751633.6762385,10.0.0.4,10.0.0.1,80,19383,6,54,0,0
1695751633.6776826,10.0.0.4,10.0.0.1,80,19383,6,54,0,0
1695751633.6789625,10.0.0.4,10.0.0.1,80,19383,6,54,0,0
1695751633.9475079,10.0.0.4,10.0.0.1,5353,2888,6,62,0,0
1695751633.9492104,10.0.0.4,10.0.0.1,5353,2888,6,62,0,0
1695751633.950818,10.0.0.4,10.0.0.1,5353,2888,6,62,0,0
1695751633.952658,10.0.0.1,10.0.0.4,2888,5353,6,54,0,0
1695751633.9545279,10.0.0.1,10.0.0.4,2888,5353,6,54,0,0
1695751633.9566832,10.0.0.1,10.0.0.4,2888,5353,6,54,0,0
1695751634.0995991,10.0.0.2,10.0.0.1,1494,8080,6,62,0,0
1695751634.101285,10.0.0.2,10.0.0.1,1494,8080,6,62,0,0
1695751634.1028416,10.0.0.2,10.0.0.1,1494,8080,6,62,0,0
1695751634.1046143,10.0.0.1,10.0.0.2,8080,1494,6,54,0,0
1695751634.1076488,10.0.0.1,10.0.0.2,8080,1494,6,54,0,0
1695751634.1098294,10.0.0.1,10.0.0.2,8080,1494,6,54,0,0
1695751634.2850258,10.0.0.4,10.0.0.3,0,0,1,148,0,0
1695751634.286141,10.0.0.4,10.0.0.3,0,0,1,148,0,0
1695751634.2871814,10.0.0.4,10.0.0.3,0,0,1,148,0,0
1695751634.2881777,10.0.0.3,10.0.0.4,0,0,1,148,0,0
1695751634.2892866,10.0.0.3,10.0.0.4,0,0,1,148,0,0
1695751634.2909253,10.0.0.3,10.0.0.4,0,0,1,148,0,0
1695751634.5394566,10.0.0.5,10.0.0.4,4321,12101,6,66,0,0
1695751634.5410595,10.0.0.5,10.0.0.4,4321,12101,6,66,0,0
1695751634.5432909,10.0.0.5,10.0.0.4,4321,12101,6,66,0,0
1695751634.5459447,10.0.0.4,10.0.0.5,12101,4321,6,54,0,0
1695751634.54858,10.0.0.4,10.0.0.5,12101,4321,6,54,0,0
1695751634.549729,10.0.0.4,10.0.0.5,12101,4321,6,54,0,0
1695751634.6875613,10.0.0.5,10.0.0.2,742,25788,6,66,0,0
1695751634.6889849,10.0.0.5,10.0.0.2,742,25788,6,66,0,0
1695751634.6902208,10.0.0.5,10.0.0.2,742,25788,6,66,0,0
1695751634.691508,10.0.0.2,10.0.0.5,25788,742,6,54,0,0
1695751634.6928625,10.0.0.2,10.0.0.5,25788,742,6,54,0,0
1695751634.6943395,10.0.0.2,10.0.0.5,25788,742,6,54,0,0
1695751649.123576,10.0.0.2,10.0.0.5,20015,80,6,62,0,0
1695751649.125126,10.0.0.2,10.0.0.5,20015,80,6,62,0,0
1695751649.1266358,10.0.0.2,10.0.0.5,20015,80,6,62,0,0
1695751649.1281762,10.0.0.5,10.0.0.2,80,20015,6,54,0,0
1695751649.1296837,10.0.0.5,10.0.0.2,80,20015,6,54,0,0
1695751649.1311834,10.0.0.5,10.0.0.2,80,20015,6,54,0,0
1695751649.2094324,10.0.0.5,10.0.0.4,22,625,6,74,1,0
1695751650.2621655,10.0.0.2,10.0.0.4,0,0,1,857,0,0
1695751650.2638345,10.0.0.4,10.0.0.2,0,0,1,857,0,0
1695751656.0721488,10.0.0.5,10.0.0.4,80,57758,6,1514,1,1
1695751659.4554837,10.0.0.2,10.0.0.3,0,0,1,141,0,0
1695751659.456623,10.0.0.2,10.0.0.3,0,0,1,141,0,0
1695751659.4575536,10.0.0.2,10.0.0.3,0,0,1,141,0,0
1695751659.4585183,10.0.0.3,10.0.0.2,0,0,1,141,0,0
1695751659.4596639,10.0.0.3,10.0.0.2,0,0,1,141,0,0
1695751659.4607537,10.0.0.3,10.0.0.2,0,0,1,141,0,0
1695751659.5379193,10.0.0.3,10.0.0.1,47536,5120,6,62,0,0
1695751659.5396128,10.0.0.1,10.0.0.3,5120,47536,6,54,0,0
1695751659.6355262,10.0.0.2,10.0.0.1,34719,3478,6,62,0,0
1695751659.6371684,10.0.0.2,10.0.0.1,34719,3478,6,62,0,0
1695751659.6396575,10.0.0.2,10.0.0.1,34719,3478,6,62,0,0
1695751661.799666,10.0.0.1,10.0.0.2,1526,19508,6,66,0,0
